2997924580000000.000000,478.538969
2855166266666667.000000,463.877249
2398339664000000.000000,433.732622
2141374699999999.750000,918.092857
1934144890322580.500000,524.333820
1713099760000000.250000,138.697331
1498962290000000.000000,160.806148
1362692990909090.750000,167.472193
1199169832000000.000000,154.124497
999308193333333.250000,122.343698
944228214173228.375000,111.671831
856549880000000.125000,92.972822
749481145000000.000000,72.313597
666205462222222.125000,58.955662
565646147169811.250000,46.845066
525951680701754.437500,42.959704
461219166153846.125000,37.054501
410674600000000.000000,32.531857
352697009411764.687500,28.548318
299792458000000.000000,25.433314
260689093913043.500000,23.150532
230609583076923.062500,20.772682
222068487407407.375000,20.008774
214137470000000.031250,19.272101
195942783006535.937500,17.748504
181692398787878.781250,16.193631
166551365555555.531250,14.722889
157785504210526.312500,13.947322
149896229000000.000000,13.280595
139438352558139.531250,12.262451
132067162114537.437500,11.508679
127571258723404.250000,11.204415
119916983200000.000000,10.462140
109015439272727.265625,13.502620
103376709655172.406250,67.769769
96707244516129.031250,68.629614
89490285970149.250000,8.797241
85654988000000.000000,7.629667
79944655466666.671875,7.071541
74948114500000.000000,6.855299
66325765044247.789062,7.242760
62456762083333.328125,5.548292
59958491600000.000000,4.943706
56564614716981.132812,4.544168
53534367500000.007812,4.825924
50812281016949.148438,8.255838
44413697481481.476562,5.408103
39707610331125.828125,3.830972
36338479757575.757812,4.470537
34458903218390.804688,7.667028
33310273111111.109375,10.725224
32235748172043.003906,23.554994
30747944410256.410156,26.303406
29979245800000.000000,26.803075
28551662666666.664062,27.441051
27253859818181.816406,30.001871
26297584035087.714844,29.899013
24982704833333.332031,24.861981
23605705354330.707031,19.771341
22206848740740.738281,16.403141
19986163866666.667969,12.954499
18169239878787.878906,16.789112
16655136555555.554688,17.867343
15778550421052.630859,16.365524
14989622900000.000000,14.273631
14275831333333.332031,12.715373
13034454695652.173828,10.685396
11991698320000.000000,9.296885
11312922943396.226562,8.288068
10901543927272.726562,7.626616
10162456203389.830078,6.476405
9517220888888.888672,5.798533
9057173957703.925781,5.630396
8689636463768.115234,5.641603
8327568277777.777344,5.607645
8102498864864.864258,5.674152
7786817090909.090820,5.712846
7494811450000.000000,5.824693
7137915666666.666016,5.936675
6915627635524.797852,6.001226
6583057927097.057617,5.584581
5995849160000.000000,3.900590
4996540966666.666992,2.380868
4282749400000.000000,1.668252
3526970094117.646973,0.723658
2997924580000.000000,0.472335
2828230735849.056641,0.338969
2725385981818.181641,0.419455
2606890939130.435059,0.318643
2498270483333.333496,0.274628
2360570535433.070801,0.357880
2254078631578.947266,0.235623
2126187645390.070801,0.200539
2067534193103.448242,0.184782
1998616386666.666504,0.251447
1934144890322.580566,0.280933
1498962290000.000000,0.135721
1199169832000.000000,0.075399
856549879999.999878,0.035436
666205462222.222168,0.022137
599584916000.000000,0.018434
499654096666.666626,0.012966
374740572500.000000,0.007413
299792458000.000000,0.004807
230609583076.923065,0.002912
199861638666.666687,0.002216
149896229000.000000,0.001281
115304791538.461533,0.000775
99930819333.333344,0.000589
52595168070.175430,0.000177
31228381041.666664,0.000069
9993081933.333334,0.000010
2997924580.000000,0.000001
